Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families
,3569f00e-c2ff-4c25-ad6e-013073a37e6a,844533af-aa24-4d42-af86-b16526f09536,ASM Tree,7.0,7.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,org.ow2.asm:asm-tree:7.0,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/27/18,9,,,,,,
,16459ffd-c8db-4bc7-8c93-df0da1a9808f,90dbd77f-1e1b-413d-8cbe-f72397114e3f,kotlin-stdlib-common,1.3.71,1.3.71,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/19/20,maven,org.jetbrains.kotlin:kotlin-stdlib-common:1.3.71,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/23/20,1,,,,,,
,1dd30afc-69b6-450f-b52f-f7c757fef842,56ab9f83-8fed-48fd-a1a4-e0450d871a7a,FindBugs jsr305,3.0.2,3.0.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/19/20,maven,com.google.code.findbugs:jsr305:3.0.2,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/30/17,2,STABLE,0,0,,,
,0d49bf88-4b9e-4c4c-afad-0eec673fec45,ee99e8cf-d02b-4e5a-b054-e8017b70757a,org.jetbrains.kotlin:kotlin-scripting-compiler-impl-embeddable,1.3.71,1.3.71,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/19/20,maven,org.jetbrains.kotlin:kotlin-scripting-compiler-impl-embeddable:1.3.71,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/23/20,1,,,,,,
,bbe44ca0-89f6-498a-b307-20a6061a3724,3ade163c-6fe8-4675-9db5-3c2e55140165,kotlin-reflect,1.3.71,1.3.71,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/19/20,maven,org.jetbrains.kotlin:kotlin-reflect:1.3.71,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/23/20,1,,,,,,
,fc0c95cd-0862-406c-bf84-ef33ba87fc3b,f779fe18-c9a1-4d45-832e-86f47ba4ba7f,shared-tag-library,1.8.0-beta4,1.8.0-beta4,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/19/20,maven,org.slf4j:slf4j-simple:1.8.0-beta4,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/19/19,6,STABLE,0,0,,,
,2ebd9f66-1679-4f86-98e2-0f5f540f1146,dd5aeb1a-0603-4366-a8a4-571a9ec33ac7,jaxen,1.1.6,1.1.6,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/19/20,maven,jaxen:jaxen:1.1.6,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/13/13,2,STABLE,0,0,,,
,187e565c-c555-4f31-a6ad-376bfc1ab0cd,19523619-e887-453d-aec5-f3634188472c,kotlin-script-runtime,1.3.71,1.3.71,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/19/20,maven,org.jetbrains.kotlin:kotlin-script-runtime:1.3.71,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/23/20,1,,,,,,
,b75f622a-30da-46e4-a9c9-56f4ab75e22e,a8b56e3e-700f-48ad-8f9a-751ecf1f99a9,Apache Commons BeanUtils,1.9.4,1.9.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/19/20,maven,commons-beanutils:commons-beanutils:1.9.4,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/3/19,0,DECREASING,1,1,,,
,9ac35671-522a-4bec-9ba3-2b525ca09623,c5bfdf80-da5c-4bb7-9f7c-aa722b1940c4,Trove4J,1.0.20181211,1.0.20181211,cff110eb-f85c-445c-9d3b-00a04b7f4cf0,GNU Lesser General Public License v2.1 or later,WEAK_RECIPROCAL,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,org.jetbrains.intellij.deps:trove4j:1.0.20181211,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/11/18,2,,,,,,
,e4ee0bd5-2d0e-494f-b293-22e0314e3acb,576153ce-939c-4675-8175-791ef7353ed2,JSON-java,20180813,20180813,1e26c7bd-0277-479d-bc67-454ff0686faa,JSON License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/19/20,maven,org.json:json:20180813,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/13/18,2,STABLE,25,8,,,
,50bca935-34bc-4929-b6f0-036189498786,0ac10e18-4f29-404f-a13d-8a605200b64b,dom4j: flexible XML framework for Java,2.1.1,2.1.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,5/19/20,maven,org.dom4j:dom4j:2.1.1,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,1,0,0,7/1/18,6,DECREASING,0,0,,,
,a6d54d5e-a933-4b78-8880-f20eebf8eb0d,e094ab0f-0e6c-4477-8177-be5d87619087,Guava ListenableFuture only,9999.0-empty-to-avoid-conflict-with-guava,9999.0-empty-to-avoid-conflict-with-guava,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/19/20,maven,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/11/18,1,,,,,,
,3569f00e-c2ff-4c25-ad6e-013073a37e6a,2d8f4024-17a3-4e20-9141-ec9c057dd283,ASM Tree,7.1,7.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,org.ow2.asm:asm-tree:7.1,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/3/19,8,,,,,,
,7bd332eb-972e-491b-ab9e-02837a4e23e1,7b0af74f-31b6-40d2-80a6-28db18280377,asm-analysis,7.0,7.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,5/19/20,maven,org.ow2.asm:asm-analysis:7.0,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/27/18,9,,,,,,
,68f02bba-b8bf-4ff1-8690-2a497ce37818,ade1b1b0-2b3b-4b71-bf6d-da232a400049,J2ObjC Annotations,1.3,1.3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,5/19/20,maven,com.google.j2objc:j2objc-annotations:1.3,NOT_REVIEWED,,,couchbase-lite-java 2.8.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/17/17,1,,,,,,
