,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,5271cd46-d193-4af5-b2c2-50a07751f580,9dae6ab2-8894-4a8f-9ced-a2a2e0c9a29e,Go Testify,20180821-snapshot-78018b09,78018b09cde1da8ab313a2344fa4395b86026def,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,stretchr/testify:78018b09cde1da8ab313a2344fa4395b86026def,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,8/21/18,33.0,INCREASING,27.0,23.0,,,,6400ba92-8ae5-432a-ba6a-bc540211e091,False
1,,5271cd46-d193-4af5-b2c2-50a07751f580,3771607b-ac13-4c61-8177-62f083306b26,Go Testify,20181108-snapshot,20181108-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Identified,,DYNAMICALLY_LINKED,True,,10/19/21,github,stretchr/testify:20181108-snapshot,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,11/8/18,27.0,INCREASING,27.0,23.0,,,,0c414f2b-d317-41c6-8097-4cdd69ec7270,False
2,,5271cd46-d193-4af5-b2c2-50a07751f580,1b89840a-da37-4363-9a36-858f34d3938c,Go Testify,v1.2.2,v1.2.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,stretchr/testify:v1.2.2,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,6/9/18,35.0,INCREASING,27.0,23.0,,,,dfc41d27-85aa-4de2-b394-c0a10e32de57,False
3,,5271cd46-d193-4af5-b2c2-50a07751f580,46431326-a3c0-4c65-9bf0-0add187810e4,Go Testify,v1.3.0,v1.3.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,stretchr/testify:v1.3.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,1/7/19,22.0,INCREASING,27.0,23.0,,,,7200c9e1-c45d-49c6-9b48-d551838abb0f,False
4,,5271cd46-d193-4af5-b2c2-50a07751f580,ed474f38-d187-4201-a049-e14bc4acea57,Go Testify,v1.4.0,v1.4.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,5/26/23,github,stretchr/testify:v1.4.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,8/15/19,21.0,INCREASING,27.0,23.0,,,,bfbbc86a-ac00-48b0-9b00-120f0c55f691,False
5,,6d055c2b-f7d7-45ab-a6b3-021617efd61b,c3b88627-7963-43e7-8f86-827e25be1aac,Go programming language,20160124-snapshot,20160124-snapshot,aea0a5dc-0989-46dc-b1e3-71c7796d85fa,Go BSD License with Patent Provision,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,golang/go:20160124-snapshot,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,2,UNREVIEWED,,,1/24/16,378.0,STABLE,10171.0,434.0,,,,af300a49-d5f0-4821-b5e2-674ab7ea9260,False
6,,6d055c2b-f7d7-45ab-a6b3-021617efd61b,60b9c37e-756c-401f-8326-014ef5374a53,Go programming language,20160905-snapshot,20160905-snapshot,aea0a5dc-0989-46dc-b1e3-71c7796d85fa,Go BSD License with Patent Provision,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,golang/go:20160905-snapshot,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,9/5/16,348.0,STABLE,10171.0,434.0,,,,f843333b-2689-49e2-b6bb-075d76e292f1,False
7,,6d055c2b-f7d7-45ab-a6b3-021617efd61b,28e5dccd-f7f6-4836-a117-a7694b39e0c2,Go programming language,20181218-snapshot,20181218-snapshot,"3d238144-44e6-450e-b523-3defbdaed9dc,ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93","(MIT License AND Apache License 2.0 AND BSD 3-clause ""New"" or ""Revised"" License)",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,golang/go:20181218-snapshot,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,4,UNREVIEWED,,,12/18/18,238.0,STABLE,10171.0,434.0,,,,0c35e644-6299-4ec5-9e26-94334e098b7d,False
8,,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,e96e7814-1058-4cf1-8a25-de0d952e1bbf,GoDoc Text,v0.1.0,v0.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,kr/text:v0.1.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,5/5/18,11.0,,,,,,,bc8e4bde-3106-4409-b8c6-e574d7e6fdcd,False
9,,ba8f049d-1c78-4a27-a8a4-40727f93b181,,Golang Protobuf,,,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,,,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,,,DECREASING,0.0,0.0,,,,,False
10,,ba8f049d-1c78-4a27-a8a4-40727f93b181,210c76d5-0f23-4a5f-82b9-623c62180b8a,Golang Protobuf,1.25.0+git20201208.160c747,1.25.0+git20201208.160c747-1~bpo10+1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,debian,golang-google-protobuf/1.25.0+git20201208.160c747-1~bpo10+1,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,15,UNREVIEWED,,,1/5/21,108.0,DECREASING,0.0,0.0,,,,4a3b5f87-ada4-4e70-ab86-0a602e9d00b6,False
11,,ba8f049d-1c78-4a27-a8a4-40727f93b181,c966c032-8606-46a3-bfb2-e37bdd8b53b2,Golang Protobuf,1.27.1,1.27.1-7.fc37/i686,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,fedora,golang-google-protobuf/1.27.1-7.fc37/i686,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,4,UNREVIEWED,,,8/28/21,52.0,DECREASING,0.0,0.0,,,,c5690861-b325-458e-8c1b-e6af5fb33b8d,False
12,,ba8f049d-1c78-4a27-a8a4-40727f93b181,56c289da-1697-44de-bab0-fd1ad8c558a5,Golang Protobuf,v1.2.0,v1.2.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,5/26/23,github,golang/protobuf:v1.2.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,8/14/18,139.0,DECREASING,0.0,0.0,,,,f5b7b399-e765-4cdc-917d-3e307974c9d7,False
13,,ba8f049d-1c78-4a27-a8a4-40727f93b181,48e10fe2-c56a-474c-850a-874fa3daefb2,Golang Protobuf,v1.3.5,v1.3.5,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,golang/protobuf:v1.3.5,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,3/12/20,116.0,DECREASING,0.0,0.0,,,,67884a60-860b-4664-8779-9320b55351b1,False
14,,ba8f049d-1c78-4a27-a8a4-40727f93b181,434953c6-9431-4f4c-a939-a732a472d084,Golang Protobuf,v1.4.3,v1.4.3,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,golang/protobuf:v1.4.3,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,10/15/20,109.0,DECREASING,0.0,0.0,,,,859ad544-59a7-4ee7-9abc-58cf67e26bcd,False
15,,ba8f049d-1c78-4a27-a8a4-40727f93b181,ce22d881-7901-4a2d-a5e0-ad11dd1cfff5,Golang Protobuf,v1.5.0,v1.5.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,golang/protobuf:v1.5.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,3/17/21,106.0,DECREASING,0.0,0.0,,,,1da29388-a231-4860-a896-36775bd6698d,False
16,,ee2fd6f7-a201-4e6f-859b-89a5b942eea7,37e34ea7-21a5-43e2-8546-a730a7c164c4,Google Cloud Client Libraries for Go,20200910-snapshot,v0.34.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,googleapis/google-cloud-go:v0.34.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,12/4/18,2033.0,,,,,,,532c4794-9520-4066-8839-ca5babc42d0d,False
17,,1ac59252-efa9-4847-adda-55c704035f0c,02abfe5c-f358-45e1-887c-05d240a065d2,Protobuf,1.5.2,1.5.2-1~exp1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,debian,golang-goprotobuf/1.5.2-1~exp1,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,9/8/21,119.0,INCREASING,2388.0,167.0,,,,0dc9bc70-dda8-4d49-852a-cf8e43ca5c9b,False
18,,f89043bc-23c9-489d-9f45-2ee930c49125,022f15bf-d3db-4313-8ff5-f28e9e164708,SILVER Wrapper,20171101-snapshot-e767f60a,e767f60ad379e72f564f04de286745d31d5603db,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,5/26/23,github,PaperCutSoftware/silver:e767f60ad379e72f564f04de286745d31d5603db,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,11/1/17,0.0,DECREASING,0.0,0.0,,,,0c5e72dc-e825-4dcd-a81b-29ca663447c6,False
19,,df6d6f65-e260-496d-91b8-7d5613b03555,2833f601-0036-4739-b3c0-e763b369ba2a,StackExchange-wmi,1.0.0,1.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,StackExchange/wmi:1.0.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,1/15/18,8.0,,,,,,,23a1f945-fa63-4427-aa8f-0a9c1efe50a5,False
20,,df6d6f65-e260-496d-91b8-7d5613b03555,7c39d004-3635-42c6-9fcd-ac154af88a49,StackExchange-wmi,20181204-snapshot,20181204-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,StackExchange/wmi:20181204-snapshot,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,12/4/18,6.0,,,,,,,adad7995-5492-41c3-99f5-3a95d202a5bd,False
21,,0f73e179-be72-495b-8dc1-ba014f46a87e,37f96faf-62d2-410f-a16e-6feae7af37ed,alecthomas-kingpin,v2.2.6,v2.2.6,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,alecthomas/kingpin:v2.2.6,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,12/17/17,8.0,,,,,,,1171d186-149f-4bd6-a036-41be19f57b4d,False
22,,981a98dc-881e-4c70-b463-952e6881085a,efde50a5-18ac-46e4-ba1e-b5161e2a76f4,alecthomas-template,20190718-snapshot-fb15b899,fb15b899a75114aa79cc930e33c46b577cc664b1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,alecthomas/template:fb15b899a75114aa79cc930e33c46b577cc664b1,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,7/17/19,7.0,,,,,,,120d6e30-e8e2-48b5-bf6a-39bce3ad9f80,False
23,,7ec255eb-d568-4a2f-83f6-b2f3384eb373,303890e2-074a-4bdc-9c71-8b099b11f82a,alecthomas-units,20190923-snapshot-f65c72e2,f65c72e2690dc4b403c8bd637baf4611cd4c069b,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,alecthomas/units:f65c72e2690dc4b403c8bd637baf4611cd4c069b,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,9/23/19,7.0,,,,,,,131c83f0-6d43-492b-819f-12764b1d8a5f,False
24,,551447d9-c374-4432-a065-a980b74b891f,9002185c-ee04-4493-add8-95c070c0c1da,android torrent library,0.13.33,0.13.33,bf913382-7596-42ad-8385-2f49fa655362,GNU Lesser General Public License v3.0 or later,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,maven,com.github.axet:libtorrent:0.13.33,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,16,UNREVIEWED,,,8/27/18,12.0,,,,,,,6695b890-fb65-47af-a6b7-a7d39427a6fa,False
25,,a160fd2a-ab2a-4d35-8243-5bed42557272,9a891f96-ef74-4ef0-ae30-a33f42945b10,beorn7-perks,v1.0.1,v1.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,beorn7/perks:v1.0.1,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,7/31/19,3.0,,,,,,,1c59df05-ec91-4e5c-bdab-57a5616493d5,False
26,,49651356-8651-4b8e-9eba-a245f6d236a9,b9abd6fa-518d-416e-9cda-612ae48b1586,cespare/xxhash,v2.1.1,v2.1.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,5/26/23,github,cespare/xxhash:v2.1.1,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,11/14/19,5.0,,,,,,,672ceeee-3400-4b39-aab8-beb1c6a54647,False
27,,49651356-8651-4b8e-9eba-a245f6d236a9,0488b6a2-cdaa-4855-b2b7-e2816334b760,cespare/xxhash,v2.1.2,v2.1.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,cespare/xxhash:v2.1.2,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,8/24/21,4.0,,,,,,,77fcc7ad-e68a-49b2-98f9-6dfcf95af66e,False
28,,d5e4c2f2-57d8-42c8-9d2b-1005a280a405,a3b8fc9f-a1fa-47fe-9cf5-73a1b1c29f39,chzyer-readline,20180828-snapshot-2972be24,2972be24d48e78746da79ba8e24e8b488c9880de,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,chzyer/readline:2972be24d48e78746da79ba8e24e8b488c9880de,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,8/27/18,4.0,,,,,,,da90c823-36b9-4a75-a5c1-194bfd9c22f8,False
29,,adae0448-b8ec-4eff-858f-2c71c568791b,e71b6a76-2ef9-470b-89c0-7ea981223335,chzyer/logex,v1.1.10,v1.1.10,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,chzyer/logex:v1.1.10,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,10/10/15,2.0,,,,,,,ab3e2319-9b4e-47e4-b201-e824fb87c36d,False
30,,281a237d-a061-4914-9781-07eaab906ce1,0a79fab0-2cab-4a25-9c81-0bc8cf1f71b8,chzyer/test,20190214-snapshot-a1ea475d,a1ea475d72b168a29f44221e0ad031a842642302,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,chzyer/test:a1ea475d72b168a29f44221e0ad031a842642302,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,2/14/19,0.0,,,,,,,18f94cc2-c644-4122-8cfe-769620f16e03,False
31,,163bec4e-b7f6-4c8a-828d-5ba673aaa72a,,client_golang,,,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,,,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,,,DECREASING,71.0,23.0,,,,,False
32,,163bec4e-b7f6-4c8a-828d-5ba673aaa72a,732c340a-d984-4f25-8828-5bca93a1f54c,client_golang,v1.11.0,v1.11.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,prometheus/client_golang:v1.11.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,6/7/21,12.0,DECREASING,71.0,23.0,,,,9d772335-cb31-4f79-8404-50065f790f4a,False
33,,163bec4e-b7f6-4c8a-828d-5ba673aaa72a,0e0f9241-1170-41c3-b709-79d616ec46a5,client_golang,v1.11.1,v1.11.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,prometheus/client_golang:v1.11.1,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,2/15/22,9.0,DECREASING,71.0,23.0,,,,74383348-e134-4fb5-b20b-6a3987bb200c,False
34,,97f09a83-51b1-437f-9503-8e74e01e6d2c,30e4b9a3-893e-4f2c-8fab-b7cd30c00cc7,coreos-go-oidc,20181204-snapshot,20181204-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,coreos/go-oidc:20181204-snapshot,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,12/4/18,17.0,,,,,,,d40b0ef4-7f8a-447a-ba6d-7a44885cfb0e,False
35,,e605ac0b-bbe2-4ad6-b34c-e5e7b9552ba9,c1379c20-4eb3-4dc8-bc39-b47a07002aec,coreos-pkg,20170518-snapshot,20170518-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,True,,5/26/23,github,coreos/pkg:20170518-snapshot,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,2,UNREVIEWED,,,5/18/17,18.0,,,,,,,7b45d1bb-a33e-4420-bdba-2a36e6dbdf24,False
36,,596620ad-db2a-497c-980b-db462db549fe,7de769b9-4b1b-4ec6-a43a-0abc48013b64,felixge/fgprof,v0.9.1,v0.9.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,5/26/23,github,felixge/fgprof:v0.9.1,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,7/12/20,7.0,,,,,,,0ed862b2-6680-4497-9c27-5faaff963bc7,False
37,,596620ad-db2a-497c-980b-db462db549fe,91544026-fa4e-4ae7-a0eb-65b1cafca97d,felixge/fgprof,v0.9.3,v0.9.3,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,felixge/fgprof:v0.9.3,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,9/1/22,4.0,,,,,,,2861b0f0-4ca7-4ec5-881a-2f42ee1c8d14,False
38,,f31439bd-661a-4959-b4c7-73addee34170,a3583aa7-d7c0-47e1-bd39-567711f4f94d,gin-contrib/sse,v0.1.0,v0.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,gin-contrib/sse:v0.1.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,6/2/19,11.0,,,,,,,b7396f37-7db0-444d-a9e2-049c494f74ff,False
39,,a34f7ca0-0b91-4934-b72a-512b146a437e,21510ffa-b1c7-43b2-9857-4c6966d8c9d4,gin-gonic/gin,v1.6.3,v1.6.3,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,gin-gonic/gin:v1.6.3,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,5/3/20,17.0,STABLE,106.0,39.0,,,,baf34f83-d246-4bb6-96f6-1682c82a2612,False
40,,c229520f-92a3-4d17-83b9-281d3ba64f46,6354ad08-78f7-41a1-aca0-977dcfcb26b3,github.com/go-kit/log,0.1.0,v0.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,go-kit/log:v0.1.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,8/10/21,3.0,,,,,,,26297e61-fd52-4705-8d4b-edc318672f75,False
41,,5a28cde9-50e3-4c05-a3f7-257c6d69cb3c,36ac9263-804d-4c69-8b34-db1bf3f55d49,go-check-check,20171108-snapshot-20d25e28,20d25e2804050c1cd24a7eea1e7a6447dd0e74ec,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,go-check/check:20d25e2804050c1cd24a7eea1e7a6447dd0e74ec,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,11/8/17,23.0,,,,,,,e81db42b-ce72-45e5-9dc7-62810aa99dbc,False
42,,5a28cde9-50e3-4c05-a3f7-257c6d69cb3c,95339ac6-b63f-4add-91ca-cb2c2dce995a,go-check-check,20190902-snapshot-41f04d3b,41f04d3bba152ddec2103e299fed053415705330,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,5/26/23,github,go-check/check:41f04d3bba152ddec2103e299fed053415705330,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,9/2/19,17.0,,,,,,,804606b8-1b7c-451f-8a3e-0ba424ffddd5,False
43,,2dc7da6d-7851-4609-b0ea-893d0b2de776,c0a996ce-baa2-457a-8761-ff3a96123caa,go-jose,v2.4.1,,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,True,,5/26/23,,,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,5,UNREVIEWED,,,12/16/19,8.0,STABLE,6.0,4.0,,,,,False
44,,6ba9da08-a759-4d29-9e9f-f50dc24bb0b9,b742695d-a669-4267-84be-ef6686123966,go-logfmt-logfmt,v0.5.0,v0.5.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,go-logfmt/logfmt:v0.5.0,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,1/4/20,4.0,,,,,,,29f63c54-8f4d-42c8-b641-9eeec693e238,False
45,,1719f48c-e3e5-4024-ad13-d532ad2ea942,a79bb272-6767-435b-bc67-99de6d8b703e,go-metrics,master-efc2659,master-efc2659,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,unknown,,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,12/21/14,19.0,STABLE,0.0,0.0,,,,ad22afad-8c9e-4445-a513-a59c466f0a73,False
46,,3ee0c6fa-12ad-48bf-9ec9-d978fe301d78,069e5e90-5c29-4a12-829f-7c958039fe16,go-ole-go-ole,184688adcb6ddaa744fe787e6e6a47a95f8b5e44,184688adcb6ddaa744fe787e6e6a47a95f8b5e44,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,5/26/23,github,go-ole/go-ole:184688adcb6ddaa744fe787e6e6a47a95f8b5e44,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,3/4/20,4.0,,,,,,,30e5925c-4d5b-4870-ac46-c19e3cdce747,False
47,,3ee0c6fa-12ad-48bf-9ec9-d978fe301d78,55160469-c9b3-4bff-8fc1-1d5820d68eec,go-ole-go-ole,20181117-snapshot,20181117-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Files Added/Deleted,Exact",,DYNAMICALLY_LINKED,True,,5/26/23,github,go-ole/go-ole:20181117-snapshot,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,2,UNREVIEWED,,,11/17/18,8.0,,,,,,,d8366b5f-0637-4e77-aac3-b4493087c9a1,False
48,,3ee0c6fa-12ad-48bf-9ec9-d978fe301d78,7099887d-eb27-4930-8dc1-6926dddcb9d0,go-ole-go-ole,v1.2.1,v1.2.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,5/26/23,github,go-ole/go-ole:v1.2.1,NOT_REVIEWED,sync_gateway 3.0.8,KB_COMPONENT,1,UNREVIEWED,,,11/10/17,10.0,,,,,,,1a1c04d9-a194-4ca7-8f2e-28a3e0b33d0c,False
