,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,ASIO C++ Library,1.24.0,Exact,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,7953a66b-efa6-43b6-a90c-de959ce49c94,a7048b63-a3ba-4d55-a253-18655a6b47a9,26b23233-77bd-4cc2-8977-f312abd57327
1,Asio C++ Library,1.24.0,Exact,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,3739d5e9-9ad8-4845-8077-1770167a69c2,0782e78c-30d4-4575-a0f3-17808d3d31d0,26b23233-77bd-4cc2-8977-f312abd57327
2,Bootstrap (Twitter),3.3.2,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,677efaf5-5bad-4f93-904b-dc4b69af9199,d5468c6d-9de3-4527-9607-19dd10cdae61,ad705c59-6893-4980-bdbf-0837f1823cc4
3,Catch2,v3.3.2,Exact,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,9772eeb8-535e-4cb0-9956-a00700ceb0f5,d20cb31e-4505-440e-b20e-6e5e1b64ebe2,26b23233-77bd-4cc2-8977-f312abd57327
4,Google C++ Testing Framework,1.10.0.20201025,Exact,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,ac3331eb-2aa8-4867-ab91-8226042a13e4,8b647f9a-8005-41b2-892c-a75cc88815ff,3d238144-44e6-450e-b523-3defbdaed9dc
5,HdrHistogram_c,0.9.13,Exact,"(BSD 2-clause ""Simplified"" License AND Creative Commons Zero v1.0 Universal AND Public Domain)",PERMISSIVE,NOT_REVIEWED,43a908e1-df66-4cd1-b18f-63c94e41965e,ea26ec59-4803-41e9-a125-51068f6e2eaa,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00"
6,benchmark,1.5.1,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c570289f-07e9-45f6-94f6-44bd43d80530,1e91044f-3434-4d59-89ae-d1eed8a3f0f9,7cae335f-1193-421e-92f1-8802b4243e93
7,benchmark,v1.5.0,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c570289f-07e9-45f6-94f6-44bd43d80530,e76d1012-dca8-4cb2-acd5-e8607b61d389,7cae335f-1193-421e-92f1-8802b4243e93
8,benchmark,v1.5.2,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c570289f-07e9-45f6-94f6-44bd43d80530,39c9f0dc-d64e-4e78-b67d-e0aec2aa9db4,7cae335f-1193-421e-92f1-8802b4243e93
9,couchbase-cxx-client,1.0.0-dp.8,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,20ed6861-2897-4b26-a828-a29370517282,14862f95-6b9c-4be2-844c-4948036b9a9b,7cae335f-1193-421e-92f1-8802b4243e93
10,couchbase-python-client,4.1.8rc1,"Files Added/Deleted,Exact",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,38a09da5-4b7a-4e96-be95-b2368cc14ffb,4742364c-4e86-4d61-b2fa-8c17d1c990b4,7cae335f-1193-421e-92f1-8802b4243e93
11,couchbase-ruby-client,3.4.4,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9315338b-2d56-4495-b3c0-7b118b805390,2ef1f061-2b1c-407d-a31f-89b3f377338e,7cae335f-1193-421e-92f1-8802b4243e93
12,docopt.cpp,v0.6.3,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,c0b67846-9ec8-4b27-9580-06a9d4366728,df4f48e5-ccf2-401e-9ca3-3eafe4bbf383,ad705c59-6893-4980-bdbf-0837f1823cc4
13,fmtlib/fmt,8.0.1,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,eae20828-18b8-478f-83b3-4a058748a28b,9cef5178-059d-42c1-92c6-055674f0f53c,ad705c59-6893-4980-bdbf-0837f1823cc4
14,google-snappy,1.1.7,Exact,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,fd5e5c60-2c67-4d20-8be9-b7648156cef3,d4cd5d20-d58c-4b15-9d63-e31063e6c0cd,3d238144-44e6-450e-b523-3defbdaed9dc
15,platform-frameworks-base,platform-tools-31.0.0,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ce982638-ee2b-4873-851c-e183a62cac0a,926e6ac5-c9b3-4b3b-b92e-fee69147c179,7cae335f-1193-421e-92f1-8802b4243e93
16,spdlog,1.9.2,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,7785114c-5b78-4aad-8771-72a739a1f06e,8a885fcc-9cf5-4396-9664-dc515d5cbca7,ad705c59-6893-4980-bdbf-0837f1823cc4
17,tao-pegtl,3.2.6,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,e1f0d32c-a98a-4a86-a232-3cc3d9eeb9a8,79a97d54-c6c8-4121-b10c-dfc9602d901e,ad705c59-6893-4980-bdbf-0837f1823cc4
18,taocpp/json,1.0.0-beta.13,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,cae0f7d2-4279-473a-9f71-eabdd121d2e3,6fe21e8f-b618-4332-a9e4-3dd1d0b74691,ad705c59-6893-4980-bdbf-0837f1823cc4
