Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts
,7c4149c8-ba40-4104-8dca-c0052ef3eafb,528a36b9-d858-44af-a316-a9af3b67c8bd,AOP Alliance (Java/J2EE AOP standard),1.0,1.0,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,Public Domain,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/8/22,maven,aopalliance:aopalliance:1.0,NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/22/04,4,STABLE,0,0,,,,,f415d143-708c-4538-9b20-12d1cdccf84c,false
,c2b15617-e7aa-4999-b5eb-b232cfb51de1,d7610700-ec52-450f-8416-ea3b973a92c2,AWS SDK for Java - Core,1.11.642,1.11.642,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/8/22,maven,com.amazonaws:aws-java-sdk-core:1.11.642,NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/30/19,544,,,,,,,,17570671-6fef-4371-9c7b-51194008d5de,false
,9c0920e4-104a-448e-8192-866544b75890,47dc2f27-657f-4c8b-ae2f-289ef7f95c35,Apache Commons Lang,3.11,3.11,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/8/22,maven,org.apache.commons:commons-lang3:3.11,NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/12/20,9,DECREASING,370,14,,,,,bb84f298-2e87-489f-9fa2-bdd2e6e7c20c,false
,f2c3b205-3e60-4d6c-a8ac-7d044b30f7c6,71b33227-154c-4417-b399-69d9dd665d97,Apache Commons Text,1.9,1.9,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/8/22,maven,org.apache.commons:commons-text:1.9,NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/21/20,1,,,,,,,,18fbd399-fd08-4434-911e-4663b72ea189,false
,f624d758-10d3-449d-96d2-d4fc12499fda,7e51b795-43b9-4eaa-9d52-2fd322dddb31,Apache HttpClient,4.5.13,4.5.13,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/8/22,maven,org.apache.httpcomponents:httpclient:4.5.13,NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/2/20,20,STABLE,0,0,,,,,c809f8cd-cfb2-447e-be1c-38474957c221,false
,a718bf9d-062d-4a63-a989-c232825a5d0d,ad075ddf-7f93-44dc-b313-9e166d1eac04,Apache HttpComponents AsyncClient,4.1.4,4.1.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/8/22,maven,org.apache.httpcomponents:httpasyncclient:4.1.4,NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/20/18,3,,,,,,,,6909aa44-4735-4cdb-b395-66dd0c72f095,false
,ca433569-ea2e-4c78-b53d-106843ec1f58,92d929cf-b12d-4684-9869-ea210b7ae7ba,Apache HttpComponents Core,4.4.14,4.4.14,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/8/22,"maven, maven","org.apache.httpcomponents:httpcore:4.4.14, org.apache.httpcomponents:httpcore-nio:4.4.14",NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/30/20,20,STABLE,0,0,,,,,"e6b232dd-9ba6-4028-a217-bdb50b1bf639, 5e574cb3-ebd0-4470-8bca-694d1a4cef02",false
,7460c937-f013-4c3a-bdf3-ace04cfd0304,84d9ebcd-097e-4a10-b881-5d2f6d8706e3,Apache Log4j,2.14.1,2.14.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/8/22,maven,org.apache.logging.log4j:log4j-core:2.14.1,NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,1,3,0,3/6/21,25,INCREASING,1150,51,,,,,b14c1975-c1df-4a15-b4df-beb702cb3fb1,false
,9f74f66e-5c27-48d0-9083-e31e3563b7b2,4c0e7a08-ed93-4db2-9765-8ee01c1d36ec,Apache Lucene,7.7.0,7.7.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/8/22,maven,org.apache.lucene:lucene-core:7.7.0,NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/8/19,1886,DECREASING,1205,92,,,,,e779985d-8cd6-45aa-95e9-1277fecd9fb1,false
,eaa5708e-b763-44f0-8091-2cdf7bac1cd0,22e3bf5a-e401-4a90-bd9f-7da89c817f32,Checker Qual,3.8.0,3.8.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/8/22,maven,org.checkerframework:checker-qual:3.8.0,NOT_REVIEWED,,,couchbase-connector-elasticsearch 4.3.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/1/20,16,,,,,,,,9e8b2915-fd11-4f70-b05d-57b0081771dc,false
