,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
12,couchbase-lite-core 3.1.0,945f9005-9509-40f6-b912-c0b69a8f2ef1,efdac925-056b-4ebd-9a4d-b18103a053b4,jsonsl,20171103-snapshot-684b60f9,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,5/9/22,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
13,couchbase-lite-core 3.1.2,7c4b22ad-982d-4dfc-a366-5cfd6ca3cf60,e4ea0bc7-f706-40e9-a6a2-524fff8d0ca7,leetal/ios-cmake,3.1.0,3.1.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,8/23/23,github,leetal/ios-cmake:3.1.0,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.2,KB_COMPONENT,,,,,,,,,,,,,95bce1e8-18b2-45c0-bcf0-f4224888ffc3,False
14,couchbase-lite-core 3.1.0,7c4b22ad-982d-4dfc-a366-5cfd6ca3cf60,e4ea0bc7-f706-40e9-a6a2-524fff8d0ca7,leetal/ios-cmake,3.1.0,,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,6/23/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
15,couchbase-lite-core 3.1.0,574849b1-902f-4367-a686-ca11c8815ba4,938fa296-f8ee-46b2-a3f0-a2eb23a77b31,libb64,1.2.1,,bfbd4bfa-5f71-4a23-9a23-4ac267626b34,Creative Commons Public Domain Dedication and Certification,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,5/9/22,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
16,couchbase-lite-core 3.1.2,574849b1-902f-4367-a686-ca11c8815ba4,938fa296-f8ee-46b2-a3f0-a2eb23a77b31,libb64,1.2.1,,bfbd4bfa-5f71-4a23-9a23-4ac267626b34,Creative Commons Public Domain Dedication and Certification,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/23/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.2,KB_COMPONENT,,,,,,,,,,,,,,False
17,couchbase-lite-core 3.1.0,a7441c50-9be3-493b-82ed-19666236acef,8c226365-ab65-43f9-943a-2c52ec080b58,libicu,71.1,,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,ad705c59-6893-4980-bdbf-0837f1823cc4,92b7564a-4a43-4679-83cf-89261e16de72",(MIT License AND Public Domain AND Unicode Character Database Terms Of Use),PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,9/22/22,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
18,couchbase-lite-core 3.1.2,a7441c50-9be3-493b-82ed-19666236acef,8c226365-ab65-43f9-943a-2c52ec080b58,libicu,71.1,,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,ad705c59-6893-4980-bdbf-0837f1823cc4,92b7564a-4a43-4679-83cf-89261e16de72",(MIT License AND Public Domain AND Unicode Character Database Terms Of Use),PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/23/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.2,KB_COMPONENT,,,,,,,,,,,,,,False
19,couchbase-lite-core 3.1.2,2bb510eb-0940-4656-82fe-11631fbf2416,471f68ed-3576-4d75-a3f5-e5187f9f8433,libstemmer,0,,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/23/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.2,KB_COMPONENT,,,,,,,,,,,,,,False
20,couchbase-lite-core 3.1.0,2bb510eb-0940-4656-82fe-11631fbf2416,471f68ed-3576-4d75-a3f5-e5187f9f8433,libstemmer,0,,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,5/9/22,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
21,couchbase-lite-core 3.1.2,98e2dba0-77c4-402f-96f3-ceb702a6e6e7,9b898ade-1c33-40b4-bdec-f51d10d8d0d6,mbed TLS,2.28.2,,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/23/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.2,KB_COMPONENT,,,,,,,,,,,,,,False
22,couchbase-lite-core 3.1.0,98e2dba0-77c4-402f-96f3-ceb702a6e6e7,9b898ade-1c33-40b4-bdec-f51d10d8d0d6,mbed TLS,2.28.2,,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,1/11/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
23,couchbase-lite-core 3.1.2,a44ae168-f007-4a28-9fc3-3052067f9f5a,0fd09ec5-d41c-4cfa-9fe9-fcc7644121e4,sqlite3-unicodesn,20160920-snapshot-af75748c,,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,Public Domain,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/23/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.2,KB_COMPONENT,,,,,,,,,,,,,,False
24,couchbase-lite-core 3.1.0,a44ae168-f007-4a28-9fc3-3052067f9f5a,0fd09ec5-d41c-4cfa-9fe9-fcc7644121e4,sqlite3-unicodesn,20160920-snapshot-af75748c,,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,Public Domain,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,5/9/22,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
25,couchbase-lite-core 3.1.2,b9185555-6e31-401e-b373-bfec7955a8ab,1cf32af0-3dc5-478c-829a-5c0a6f919d91,zlib,1.2.13,,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/23/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.2,KB_COMPONENT,,,,,,,,,,,,,,False
26,couchbase-lite-core 3.1.0,b9185555-6e31-401e-b373-bfec7955a8ab,1cf32af0-3dc5-478c-829a-5c0a6f919d91,zlib,1.2.13,,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,10/18/22,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
