,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Go Testify,v1.8.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5271cd46-d193-4af5-b2c2-50a07751f580,ea2b6b14-e201-43de-90e4-345fc56cffc7,ad705c59-6893-4980-bdbf-0837f1823cc4
1,couchbase/gocbcore,v10.2.12,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d74b4726-df61-4f98-b160-94352519917b,d2433d25-98e0-49ae-a420-a850d47dc5e7,7cae335f-1193-421e-92f1-8802b4243e93
2,couchbaselabs/gocaves,20230329-snapshot-05e3ba4f,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2a29191b-0048-4c15-891f-60285d2fba83,4fbfe96e-2227-4fc7-83c9-59c2ad2d9b18,7cae335f-1193-421e-92f1-8802b4243e93
3,go-check-check,20171108-snapshot-20d25e28,Transitive Dependency,"BSD 2-clause ""Simplified"" License",PERMISSIVE,NOT_REVIEWED,5a28cde9-50e3-4c05-a3f7-257c6d69cb3c,36ac9263-804d-4c69-8b34-db1bf3f55d49,cc875133-df38-4806-9921-473e0ef01a87
4,go-spew,v1.1.1,Transitive Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,02a60272-a845-4ff3-abee-9e6034969db2,d9b00cb4-7486-4427-9912-2a1045eef9ac,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
5,golang-snappy-go-dev,v0.0.4,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,b4466511-21ef-4990-bddb-70fdbe9cddc1,4b9a206a-fa2d-40d2-829e-e5172c46e8e9,3d238144-44e6-450e-b523-3defbdaed9dc
6,google/uuid,v1.3.1,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,54fe5fe0-f88f-4c83-988d-59e9fc584133,8d9ad686-ddd8-4d8b-aa31-fce3c8190b74,3d238144-44e6-450e-b523-3defbdaed9dc
7,pmezard-go-difflib,1.0.0,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,b17e8536-f6a6-455f-a660-0f40479eaf40,d1de4ee2-14d9-46be-9755-0dc7cd89c0d4,3d238144-44e6-450e-b523-3defbdaed9dc
8,stretchr/objx,v0.5.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,d0abba68-a7fa-414d-8a07-a6d4195e2c5c,ba77b61a-31d7-42ac-baaa-6a212121f181,ad705c59-6893-4980-bdbf-0837f1823cc4
9,yaml for Go,v3.0.1,Transitive Dependency,(MIT License AND Apache License 2.0),PERMISSIVE,NOT_REVIEWED,45badf4c-c022-42ba-b294-b7193a79b6b8,5de17134-19f2-44cf-8bea-25d22c0ca4f9,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
