Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,43bf3bb1-f818-4d03-aaff-85c9ac98cef0,741cb829-d7dc-421e-a21d-61d3e12de741,Go programming language,0.0~git20190701.4def268,1:0.0~git20190701.4def268-1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,ubuntu,golang-go.crypto/1:0.0~git20190701.4def268-1,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,8ae647a1-bdf4-48a5-a491-32142c77f6e0,6273e9a6-a1a4-48fa-b291-07912745b96a,btree,20190516-snapshot,20190516-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,google/btree:20190516-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,2aaaa93f-ed10-483b-87ef-97702db5be0d,edbecdec-c977-4ef1-98de-dc1ba83ef9f3,Azure-go-autorest,v13.3.0,v13.3.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,Azure/go-autorest:v13.3.0,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,163bec4e-b7f6-4c8a-828d-5ba673aaa72a,5b3ba3da-d2c9-44de-986f-36af19ce8faf,client_golang,v1.2.1,1.2.1-1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,debian,golang-github-prometheus-client-golang/1.2.1-1,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,b09390d1-61e9-4adf-a16a-182bf27f0e49,55db5fb9-2a8b-499c-990e-995690e877e8,go-openapi/spec,20190116-snapshot,20190116-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,go-openapi/spec:20190116-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,d047dc4a-d2d5-4060-9df0-3b07f082908a,090996b4-b3c2-44c6-8a65-f132b440f9ce,gopkg.in/mgo.v2,20160818-snapshot-3f83fa50,3f83fa5005286a7fe593b055f0d7771a7dce4655,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,long_tail,gopkg.in/v2/mgo#3f83fa5005286a7fe593b055f0d7771a7dce4655,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,91e1a57c-96c9-4452-93eb-5b9f49ff257f,a1e7118a-2ff0-4790-ab06-ec0aded5d932,go-openapi/errors,20190127-snapshot,20190127-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,go-openapi/errors:20190127-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,7da255a2-0cbb-4423-bf64-69d93fde4326,ec40d8ba-5713-45fb-979e-4db32a4dfe45,golang-github-spf13-pflag-dev,20190510-snapshot,20190510-snapshot,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,spf13/pflag:20190510-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,7a777763-ac31-4919-8f49-52e373f3af41,9b4700b5-bfae-4d8c-8dec-2e731340cb57,jQuery,Unknown,unknown,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,unknown,,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,78acd48b-3cf3-499d-841b-1fefe4a6ff4a,5f14ddcd-5a49-45ce-b811-c027c14a7d0a,modern-go/reflect2,20190306-snapshot,20190306-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,modern-go/reflect2:20190306-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,9224887c-aa28-4b52-92df-d7f1d873a26e,440869b9-527c-42ae-bb71-e7584c1e902f,mergo,v0.3.8,v0.3.8,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,imdario/mergo:v0.3.8,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,3d4b6ba3-dbff-4cac-9f4d-5262f0397fb9,77bfdda0-c82a-48c1-92a1-ed221acd64b6,golang/text,20180908-snapshot-905a5715,905a57155faa8230500121607930ebb9dd8e139c,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,golang/text:905a57155faa8230500121607930ebb9dd8e139c,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,035a55d0-48da-4cfc-89eb-5f3238c56b46,bee5e154-5d52-496e-9d65-0de49d64c5d6,purell,1.1.0,v1.1.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,PuerkitoBio/purell:v1.1.0,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,b15e2f7a-8edf-475f-bac2-56ddd011df89,9be69d2c-3183-4bb3-b00c-72bb7e3ec646,k8s.io/code-generator,kubernetes-1.17.0-rc.1,kubernetes-1.17.0-rc.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,kubernetes/code-generator:kubernetes-1.17.0-rc.1,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,23aafcb2-e33e-487c-9d8f-eb7d272ee1cf,b7c32856-c587-421c-b536-7846ae89e33d,googleapis/gnostic,v0.2.0,v0.2.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,googleapis/gnostic:v0.2.0,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,439c7bc1-c417-4985-9ca6-cba98c22de2f,1608f651-4fb0-45d6-8dad-ef781971d7d3,go-openapi/analysis,20190118-snapshot,20190118-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,go-openapi/analysis:20190118-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,b54f7ee0-8f86-44a2-ba1a-75cb34b920d1,1b54f896-5439-403e-baa0-24d89ea27a63,strfmt,20190106-snapshot,20190106-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,go-openapi/strfmt:20190106-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,399ba8e6-0419-4d36-81ef-754f8a32bdf0,0a2e1e93-b352-40ec-9e63-0565b7fdb9f4,prometheus-common,20190509-snapshot,20190509-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,prometheus/common:20190509-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,b15e2f7a-8edf-475f-bac2-56ddd011df89,be0a6bfd-9299-46ea-b624-795b35f52e2f,k8s.io/code-generator,kubernetes-1.11.1,kubernetes-1.11.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,kubernetes/code-generator:kubernetes-1.11.1,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,2db9b101-b760-4faf-8740-cab9d2785cc6,dde36cd9-7e17-4a5c-876f-f306c0033982,go-openapi/runtime,v0.18.0,v0.18.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Files Added/Deleted,Files Modified",,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,go-openapi/runtime:v0.18.0,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,eee50589-7e4c-432b-9c72-e79112aebae7,aa2d616d-2ebb-4293-af87-bfad126acf64,client-go,v8.0.0,v8.0.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,kubernetes/client-go:v8.0.0,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,798f3e61-1eca-4950-9353-81a09fdaed83,7f1fc254-92e7-45ae-b5de-6e495951867e,gengo,20180514-snapshot-01a732e0,01a732e01d00cb9a81bb0ca050d3e6d2b947927b,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,kubernetes/gengo:01a732e01d00cb9a81bb0ca050d3e6d2b947927b,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,3547bbd8-32cb-4ed1-bb4c-98db54e79af7,ca9ac2b0-f625-4396-b851-455a5c6314ba,hashicorp-golang-lru,20190315-snapshot,20190315-snapshot,ce3dd63e-c569-4cea-986a-46bc5efe9896,Mozilla Public License 2.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,hashicorp/golang-lru:20190315-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,d0457612-4235-419c-a42c-d7ea260ffa9b,a75934ae-6a43-4adc-8119-4b3ee873bd8b,go-openapi/jsonpointer,20190307-snapshot,20190307-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,go-openapi/jsonpointer:20190307-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,36dcb205-f517-402c-bb0e-eb99b563bd7d,04293c41-aa78-4084-98f0-7cb487958056,urlesc,20190627-snapshot,20190627-snapshot,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,PuerkitoBio/urlesc:20190627-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,1b05a3c0-7d30-450a-a2ce-8795376706be,de40ff78-7213-4900-8b82-8b95fafa65d1,google/uuid,20190514-snapshot,20190514-snapshot,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,google/uuid:20190514-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,1f0f4cb8-c53b-4ac4-a20e-2bd7b11686c8,7c8648a6-43be-498b-979f-5f1fb3ba40d6,prometheus-client_model,20180906-snapshot,20180906-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,prometheus/client_model:20180906-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,7a777763-ac31-4919-8f49-52e373f3af41,992291fd-2d5f-4e72-9690-a6b8774ad280,jQuery,1.8.2,1.8.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,unknown,,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,dc75044e-e9f3-4cc6-8e02-d2c3e13f4317,4589daa8-678a-4030-b81b-b3b3df618d35,omd - Open Monitoring Distribution Labs Edition,v3.20-labs-edition,v3.20-labs-edition,0289ba34-8fe7-41db-82e0-49c28b9c2414,GNU General Public License v2.0 only,RECIPROCAL,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,ConSol/omd:v3.20-labs-edition,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,d12ed85f-09cb-4f26-9c18-d64ccded2b2c,c7a73757-5b5e-4459-95d9-c2db9ddbc428,jwt-go,20180427-snapshot,20180427-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,dgrijalva/jwt-go:20180427-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,16221570-a392-4c6c-950e-40a7103e2f55,53f732be-8362-46ff-ad63-a347c4826742,google-gofuzz,v1.0.0,1.0.0-1.fc31/armv7hl,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,fedora,golang-github-google-gofuzz/1.0.0-1.fc31/armv7hl,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,8fa77e97-34b2-443c-9972-31369353e8d9,b6d2c680-895f-4091-a5cf-66ef70a58297,k8s.io/kube-openapi,20190401-snapshot-5e45bb68,5e45bb682580c9be5ffa4d27d367f0eeba125c7b,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,kubernetes/kube-openapi:5e45bb682580c9be5ffa4d27d367f0eeba125c7b,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,16221570-a392-4c6c-950e-40a7103e2f55,55e2736b-bd17-4f12-92fb-48b725f6f9c9,google-gofuzz,20190315-snapshot,20190315-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,google/gofuzz:20190315-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,09a16956-5919-44dd-abfe-26c959332650,4d93e4cd-42dd-4b6d-b320-44c8b0789a20,Go Logrus,20181205-snapshot,20181205-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,sirupsen/logrus:20181205-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,9224887c-aa28-4b52-92df-d7f1d873a26e,a67755bb-6515-4052-96d6-8c6c08c6b8ac,mergo,v0.3.6,v0.3.6,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,imdario/mergo:v0.3.6,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,798f3e61-1eca-4950-9353-81a09fdaed83,8b3865de-b877-487b-a983-8091aa83f04e,gengo,0,0-0.1.20190629gite17681d.fc31/armv7hl,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,fedora,golang-k8s-gengo/0-0.1.20190629gite17681d.fc31/armv7hl,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,83df47d3-8149-4037-92d1-bb5fcd9e1845,6491ece8-324e-4ca3-b06b-7b0951769a76,mailru/easyjson,20190211-snapshot,20190211-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,mailru/easyjson:20190211-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,7773904d-6f03-42e5-9ce5-3ef396562e35,3daef2ff-cf5f-4905-9230-8a268c5baba0,jsoniter-go,1.1.8,1.1.8,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,json-iterator/go:1.1.8,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,8f01da5e-6c7f-4b09-9b01-2c559365fac7,f7a0bbb5-92e5-416f-a580-f433039fe8be,k8s.io/klog,20190206-snapshot,20190206-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,kubernetes/klog:20190206-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,2c771167-95ec-4d9a-91ae-a08f7da10f1b,10464e92-6d40-4b84-9752-ba2477c277ea,golang/appengine,20190209-snapshot,20190209-snapshot,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,golang/appengine:20190209-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,43bf3bb1-f818-4d03-aaff-85c9ac98cef0,b74015b4-11eb-4821-ade6-62c2e9307e5d,Go programming language,0.0~git20191118.07fc4c7+ds,1:0.0~git20191118.07fc4c7+ds-1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,"Exact,Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,ubuntu,golang-golang-x-tools/1:0.0~git20191118.07fc4c7+ds-1,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,097298b2-9b54-4f9a-861c-f0d4285cdfe5,bf06e386-8372-4468-a01c-ca6c20bdaf51,golang-github-ghodss-yaml-dev,20190919-snapshot,20190919-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,ghodss/yaml:20190919-snapshot,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,83df47d3-8149-4037-92d1-bb5fcd9e1845,3790c8c6-eee7-4cce-b73e-a2e5df04dd6a,mailru/easyjson,v0.7.0,v0.7.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,mailru/easyjson:v0.7.0,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,0238325c-75f2-4079-ae2d-9c482e73c204,ad193836-87b9-4c2e-a87c-e14a7e23a7ff,gopkg.in/puerkitobio/urlesc.v0,20170810-snapshot-de5bf2ad,de5bf2ad457846296e2031421a34e2568e304e35,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,long_tail,gopkg.in/puerkitobio/urlesc.v0#de5bf2ad457846296e2031421a34e2568e304e35,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,1f9b60a8-93bb-4af8-920e-9d3b690fc054,c0f3ad05-dffe-40ad-ae30-ef4cd2e892d5,kubernetes/api,kubernetes-1.17.0-beta.2,kubernetes-1.17.0-beta.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,github,kubernetes/api:kubernetes-1.17.0-beta.2,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,a160fd2a-ab2a-4d35-8243-5bed42557272,dfa6aaa7-d86c-4c6e-b849-5d5a4cf3130d,beorn7-perks,v1.0.0,v1.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,11/7/19,github,beorn7/perks:v1.0.0,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,4265397b-3f18-4513-a071-3cb2fa71bbce,891955a8-d6a5-4e9e-9e94-9559245824f2,rclone,v1.46.0,1.46.0-1.fc30/x86_64,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,11/7/19,fedora,rclone/1.46.0-1.fc30/x86_64,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,51ba14ba-de81-4a26-991b-df050110a2f4,62b3ce85-76ed-41ff-9813-b1ba888527c1,mapstructure,v1.1.2,v1.1.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/7/19,github,mitchellh/mapstructure:v1.1.2,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
,b09390d1-61e9-4adf-a16a-182bf27f0e49,35b8b87b-c57e-43a0-a960-6f2edb58af1c,go-openapi/spec,v0.19.4,v0.19.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/11/19,github,go-openapi/spec:v0.19.4,NOT_REVIEWED,,,couchbase-operator 1.2.2,KB_COMPONENT,
