,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,AOP Alliance (Java/J2EE AOP standard),1.0,Transitive Dependency,Public Domain,PERMISSIVE,NOT_REVIEWED,7c4149c8-ba40-4104-8dca-c0052ef3eafb,528a36b9-d858-44af-a316-a9af3b67c8bd,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4
1,ASM,9.9.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,a5ce5718-168c-4a89-976c-245a004c4397,66643863-cea9-4082-b374-9aa64649cc58,3d238144-44e6-450e-b523-3defbdaed9dc
2,ASM Commons,9.9.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,755247aa-5fb2-4ff7-958c-d0bb99e548e8,1d197d1d-23f1-46a2-81d6-a20f0d29f653,3d238144-44e6-450e-b523-3defbdaed9dc
3,ASM Tree,9.9.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,3569f00e-c2ff-4c25-ad6e-013073a37e6a,75c88498-c84a-441f-b58c-11f5c4249252,3d238144-44e6-450e-b523-3defbdaed9dc
4,ASM Util,9.9.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,66ecdff5-5f93-4073-b86f-1437007b7b0c,16376ead-b037-45f5-9d06-1dfe8cf174c4,3d238144-44e6-450e-b523-3defbdaed9dc
5,Ancillary classes for making third party frameworks to run on top of Vert.x,3.32.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9655f3ba-a966-4bc5-b42d-146578cd3233,f00dcded-1e97-4812-9738-36fdb2a11615,7cae335f-1193-421e-92f1-8802b4243e93
6,Angus Activation Registries,2.0.3,Transitive Dependency,Eclipse Distribution License - v 1.0,PERMISSIVE,NOT_REVIEWED,0c594dcf-d68b-4b59-9600-572360a6d7fe,f461f399-e1bc-4e87-a387-a9fd93fb7f4e,f6eccc87-62ff-4ffd-9fa7-763d1a436125
7,Apache Commons Codec,1.21.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,932a1ab1-4722-4bbd-9f5d-d6cd2aa1c7e7,a69b511f-2d02-4f13-ba0a-8a2ad755a207,7cae335f-1193-421e-92f1-8802b4243e93
8,Apache Commons Compress,1.28.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a136f90b-95e7-4c88-9e42-70ccd7797b5c,60df47d5-bacc-4cb4-b436-7a94bfcc0223,7cae335f-1193-421e-92f1-8802b4243e93
9,Apache Commons IO,2.21.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,96dc9f7b-73e3-4dc2-b0bb-b6bba56b535d,005f5a64-6349-4b5c-8c56-2714a03ece6b,7cae335f-1193-421e-92f1-8802b4243e93
10,Apache Commons Lang,3.20.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9c0920e4-104a-448e-8192-866544b75890,25cd9b3d-777d-4677-9a73-006af5a02644,7cae335f-1193-421e-92f1-8802b4243e93
11,Apache Groovy,4.0.22,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,81f45bb9-9c2e-4a23-be4b-2a85101048a1,a12fd561-77df-441f-8bd5-3762779b64ec,7cae335f-1193-421e-92f1-8802b4243e93
12,Apache HTTPComponents Core,4.4.16,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ca433569-ea2e-4c78-b53d-106843ec1f58,f4c8d49f-84fc-4ffb-958b-a154a94e307b,7cae335f-1193-421e-92f1-8802b4243e93
13,Apache HttpClient,4.5.14,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f624d758-10d3-449d-96d2-d4fc12499fda,ca8bc151-5d96-468f-9414-b0bed12b207f,7cae335f-1193-421e-92f1-8802b4243e93
14,Apache HttpMime,4.5.14,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,56d9341e-271a-4c5b-aef3-3828b875382a,92b4752a-2a9c-4e58-8321-dd4f2c32d425,7cae335f-1193-421e-92f1-8802b4243e93
15,Apache Maven,3.9.12,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ffce8ded-e5b4-46b0-b813-6e4e512397b5,517979d0-b298-444e-b6a6-5fc4a68546fa,7cae335f-1193-421e-92f1-8802b4243e93
16,ArC - Processor,3.32.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,98eef93f-b22c-4557-bf1f-2b8dff52b5e8,01dd6b3d-8db7-45e5-93b3-005e16779a27,7cae335f-1193-421e-92f1-8802b4243e93
17,ArC - Runtime,3.32.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1a9eddeb-dd64-4c32-bdff-176a76866fe5,0232bcef-67bf-44ba-a22b-f9539d49786b,7cae335f-1193-421e-92f1-8802b4243e93
18,Awaitility,4.3.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,70afd8a0-857d-4f00-892a-396312fb6b43,4f6de548-6257-460e-97b1-c0627b8a4085,7cae335f-1193-421e-92f1-8802b4243e93
19,CDI APIs,4.1.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9ec4f503-0b48-4b0f-b40e-128ddb0c3225,29509204-23d0-48d5-a91e-d8e7a800cf97,7cae335f-1193-421e-92f1-8802b4243e93
20,CDI Language Model,4.1.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,509111b6-e65e-4b3b-a6a2-3b688499e298,d8709808-1f9c-46c8-9d3e-bad429507184,7cae335f-1193-421e-92f1-8802b4243e93
21,Commons Logging to JBoss Logging,2.0.0.Final,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c2abbe7a-825e-465a-819d-fd6b431583d8,04590a64-ac75-439e-9284-aa28bc76142e,7cae335f-1193-421e-92f1-8802b4243e93
22,Couchbase JVM Core IO,3.10.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,72ed568b-e849-4f92-a4d1-df220cb2a423,f53f4afb-3193-4b69-9de2-bb996d8ba042,7cae335f-1193-421e-92f1-8802b4243e93
23,Couchbase Java SDK,3.10.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,24d30cc9-59fe-47e8-9672-b5b99f76eaec,976d8570-d7aa-48a2-9df9-14763eccb99c,7cae335f-1193-421e-92f1-8802b4243e93
24,Couchbase Quarkus Extension - Deployment,1.3.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,82343110-a095-42e9-9499-0b9e7fb7295f,284ce5b8-aad7-4947-8f55-17e871edfa9a,7cae335f-1193-421e-92f1-8802b4243e93
25,Couchbase Quarkus Extension - Runtime,1.3.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,455576c7-84d0-4d9a-b812-06458023c4dd,1b7d2d59-b5e7-40cc-8c50-c58bbc3a7fa2,7cae335f-1193-421e-92f1-8802b4243e93
26,Duct Tape,1.0.8,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4d3efdea-3f63-45c4-9ede-e1f4c8b495e2,e78ce716-b979-4fe7-991b-832a75c584ab,ad705c59-6893-4980-bdbf-0837f1823cc4
