,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,BurntSushi/rust-csv,0.1.11,Direct Dependency,(MIT License OR The Unlicense),PERMISSIVE,NOT_REVIEWED,341b30c7-7eab-4835-8f07-fadc6c443433,926170ba-dbf7-45c2-9a1f-1f50d1310c73,"ad705c59-6893-4980-bdbf-0837f1823cc4,57b1f355-a0a0-4f5e-b4dd-019296e4eda6"
1,BurntSushi/same-file,1.0.6,Direct Dependency,(MIT License AND The Unlicense),PERMISSIVE,NOT_REVIEWED,8b2eca03-826c-4b7c-a7c7-fed20a6c593f,451b6019-56dc-4cf1-bc50-eca480e7e71c,"ad705c59-6893-4980-bdbf-0837f1823cc4,57b1f355-a0a0-4f5e-b4dd-019296e4eda6"
2,Kimundi/rustc-version-rs,0.2.3,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5b6677b3-af89-49ca-a485-ceece29ea238,81257495-d114-444b-a547-43644a4e01f7,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
3,Kimundi/rustc-version-rs,0.4.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5b6677b3-af89-49ca-a485-ceece29ea238,7b9fa5c5-160b-4121-ad15-c13e9c044092,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
4,RustCrypto/MACs,0.10.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5e8e472f-6e80-4a45-84c0-258c8b28d0ce,f7fd3077-3a33-47a7-896c-e0d97cbd1372,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
5,RustCrypto/MACs,0.12.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5e8e472f-6e80-4a45-84c0-258c8b28d0ce,47cc9d78-ae25-41b6-9c15-62f3724521f9,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
6,RustCrypto/hashes,0.10.8,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,f09ed4b4-68f3-4fa7-b4ac-74d931ffc562,fbf2e803-e633-4b0f-835c-de63f454d6af,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
7,RustCrypto/hashes,0.9.9,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,f09ed4b4-68f3-4fa7-b4ac-74d931ffc562,1a5c81ba-02c8-4471-982e-6591c83e679b,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
8,RustCrypto/traits,0.1.6,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,bb4281d0-d925-4478-ab35-cee43700a54e,be18fbea-a663-4778-87e1-1f0471f0cebb,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
9,RustCrypto/traits,0.2.5,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,bb4281d0-d925-4478-ab35-cee43700a54e,0d04eaad-1eb7-414e-9dbd-3251feeca8b4,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
10,RustCrypto/traits,0.3.2,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,bb4281d0-d925-4478-ab35-cee43700a54e,505df6fe-0b66-450e-b09b-e38b361c012e,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
11,RustCrypto/traits,0.4.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,bb4281d0-d925-4478-ab35-cee43700a54e,d161b0b6-2e64-477f-8107-93c528b54289,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
12,SergioBenitez/cookie-rs,0.14.4,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,79b39858-c9f4-454d-9192-a5b91b7c439a,dfc68086-e576-422b-b171-e5817e868862,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
13,SergioBenitez/version_check,0.9.4,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,52f82ded-e806-4eac-a6e5-f5971752ff82,44e65d50-44eb-4daf-85a1-8e1a4f9d3619,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
14,TeXitoi/structopt,0.3.26,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,9441dc0a-393b-458c-b30b-c3ddf8d37165,87f78c51-b9ef-4211-b1a4-c58c4025e387,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
15,TeXitoi/structopt,0.4.18,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,9441dc0a-393b-458c-b30b-c3ddf8d37165,7b72c4a9-a10b-4a06-989c-cceab5a9a8bb,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
16,TedDriggs/ident_case,1.0.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,7cbb73dd-9fbb-418d-9c7c-76855dfe0b6d,4354bb88-dd83-49ec-8f98-fbcd40a985b3,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
17,adler,1.0.2,Direct Dependency,(BSD Zero Clause License OR MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,beff6540-5b94-4e77-9826-3e1379516236,d8a586ca-35c3-4165-807e-50d4efa4f2cb,"ad705c59-6893-4980-bdbf-0837f1823cc4,dd4bebf5-122b-4a8c-8c2a-dc34f0308110,7cae335f-1193-421e-92f1-8802b4243e93"
18,aes,0.6.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,73b65e51-d949-4008-bbe6-77be1447d656,e447bae1-b6f5-4f8d-ae81-0a2b8046a918,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
19,aes-gcm,0.8.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,0a08f1fc-fb6b-4845-a59f-a2d3089c10dc,cb1a0e39-885e-43a1-b7bd-fdb2c3c56a96,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
20,aes-soft,0.6.4,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,144f443a-c4f7-4c86-a986-19edfbf0d5bf,cc1a62bc-c2bf-490b-a72f-23df9098a371,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
21,aesni,0.10.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,63c51897-9870-4df1-adb6-79709aaee8b6,8f5283e1-1d69-49ce-8f70-8fa8896f3337,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
22,alexcrichton/cfg-if,1.0.0,Direct Dependency,(MIT License AND Apache License 2.0),PERMISSIVE,NOT_REVIEWED,c34936c4-56b4-4c6d-9e19-7e034be7440c,7958c109-fd8a-45f9-bb5d-feee0c0a577e,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
23,alexcrichton/cmake-rs,0.1.50,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,c5311324-581c-4404-af38-b14d3eb8cf52,2082a8e9-3473-4226-8ab3-657711a07514,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
24,alexcrichton/jobserver-rs,0.1.31,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,a9f39c40-8445-42bf-bd47-31caae954b58,eb87c2df-1b06-4969-ad42-4f1589882368,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
25,alexcrichton/openssl-probe,0.1.5,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,09d94744-c27c-4d2d-8235-b308383b8523,603b1816-998f-43b6-84ba-baac1ba3e1b3,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
26,alexcrichton/scoped-tls,1.0.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5ba2482b-c7f6-4681-ad5f-bf581309b4c2,929ffd31-6679-492e-b44d-0cd54b9187fc,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
27,alexcrichton/socket2-rs,0.4.10,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,cc0a0f6f-b719-4d47-8172-ac3b04d1f190,06ca0c31-502c-42d8-b387-85739e25d7a5,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
28,alexcrichton/socket2-rs,0.5.7,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,cc0a0f6f-b719-4d47-8172-ac3b04d1f190,7d31aa59-0160-49e9-bc4a-64a74d70f485,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
29,alloc-no-stdlib,2.0.4,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,5969e57f-049c-48e6-898c-4c65bca5c4d1,ee1da948-36ac-4bde-89ff-c35c44238c4e,3d238144-44e6-450e-b523-3defbdaed9dc
30,alloc-stdlib,0.2.2,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,394d879d-ec64-45af-8c05-83b7f96d14cf,a549de5c-f9aa-426e-9282-859cba7309af,3d238144-44e6-450e-b523-3defbdaed9dc
31,allocator-api2,0.2.18,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,0f9c22e4-b727-4d87-8204-0294180ac735,73f6839b-e5b2-453c-927f-dc4f998fb421,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
32,alphanumeric-sort,1.5.3,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8262169e-7608-42a5-be68-96a42c03179d,015b6f48-ff6c-49f4-be31-ee54a437852a,ad705c59-6893-4980-bdbf-0837f1823cc4
33,android-tzdata,0.1.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,ec6ffb8e-adcc-45ee-8c52-689a5114e8ed,a46d8ebc-13be-4b50-9506-048525c2ed9d,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
34,android_system_properties,0.1.5,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,02758b79-8df9-4500-b82d-8ea4baf0d386,077f0780-390f-47e9-82c8-4e6cb7b3d1f3,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
35,ansi-str,0.8.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e321e735-26d3-4ded-8904-39d5484f9a1b,9629521f-4e95-4207-b912-d1707a13583b,ad705c59-6893-4980-bdbf-0837f1823cc4
36,ansitok,0.2.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,98e740a4-1383-4abe-a08f-3209f3172c9b,648e04d0-d5dc-44a8-af97-c979ef68cbca,ad705c59-6893-4980-bdbf-0837f1823cc4
37,anstream,0.6.14,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,79511cd5-3e67-4204-a3ba-6d36ce834992,dafb1dcb-bebd-4a60-a173-c2751288913a,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
38,anstyle,1.0.7,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,f9a66b42-e212-403a-b9cd-755138a4d645,0bde8843-6b0d-40c1-a413-ac7086051fa7,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
39,anstyle-parse,0.2.4,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,44147c52-c8db-43b8-92d1-ad05c2b7a029,06480943-3479-4551-9c2d-dd021d86eef6,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
40,anstyle-wincon,3.0.3,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,db1f849b-0ffd-4895-8bd9-8318fc2cdd2c,38320e08-d7c2-4ed6-a52a-c497a76c84e0,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
41,arboard,3.4.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,1dbe967f-bd35-43d5-8712-6166327f41eb,52cc822e-7ca4-4a9b-a8db-de50a5a50688,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
42,async-channel,1.9.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,7e8363cb-bc1b-4b9b-9e91-bc466bd0497d,410da609-df72-4c31-863e-05b65e17ad9b,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
43,async-channel,2.3.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,7e8363cb-bc1b-4b9b-9e91-bc466bd0497d,dc14a8e4-57f3-428e-9233-53dbffdbbcf9,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
44,async-convert,1.0.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,56e0cdb6-af89-4d9b-91a7-cb24aa135083,42ac92a8-20c0-42db-80f0-7e23d1732ecc,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
45,async-io,1.13.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,98e496f3-054e-439a-b07d-621867864108,45689000-44d7-43bf-bdbb-d6409960f39b,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
46,async-lock,2.8.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,34262feb-6f4e-4cc6-b046-0bd2a5f9ab7c,136d011f-75d2-492d-81e3-5c7b0e45cbbf,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
47,async-openai,0.23.3,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7d2ca6c0-20de-4773-b128-a310e8c67d19,5be0fa92-2a83-4eaf-a141-81cfdf34e2aa,ad705c59-6893-4980-bdbf-0837f1823cc4
48,async-std,1.12.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,664199d5-4cab-4bc2-8fb3-d991b9502054,1a8424df-f38c-43ca-9f05-033d9afd9e3f,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
49,async-stream,0.3.5,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,623a3e3e-c682-44f6-876c-b41aa68896fd,d5e6dcfc-4d7a-4cb1-bf72-b1ac70f4d246,ad705c59-6893-4980-bdbf-0837f1823cc4
50,async-stream-impl,0.3.5,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,abb8f824-6088-4586-bee1-be2a314a446f,26124f3a-8c5e-4015-9a3d-8e4e896cbe6b,ad705c59-6893-4980-bdbf-0837f1823cc4
51,async-task,4.7.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,60d961c2-5949-4190-aa28-3e4d66cf23a6,2529d0b2-1511-430c-9b73-3d904ea11979,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
52,atomic-waker,1.1.2,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,6b117af6-f68a-41a7-a1d9-42ce83f30a49,8d30a2c2-4c39-436d-a50e-a24555e6d69c,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
53,autocfg,1.3.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,1a31ee7c-6d1f-4e35-92f0-e3aabcb54c65,8da4295c-4884-420d-9124-34b0a51b79ca,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
54,aws-config,1.5.3,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,db1fc361-8f9e-4484-97fb-a2e817c58576,141b013f-9a67-4cb6-b746-ab64de1c38bb,7cae335f-1193-421e-92f1-8802b4243e93
55,aws-sdk-sso,1.33.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d03c2878-f5f0-40a2-a02e-2e80b06867c3,e5c3f8d4-6ff0-4b1c-bc3f-0701b4b5b547,7cae335f-1193-421e-92f1-8802b4243e93
56,aws-sdk-ssooidc,1.34.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,0e054847-71c7-4813-80ae-cbb52328a655,c26b05cb-1f43-4a52-80df-b6fd909e10b2,7cae335f-1193-421e-92f1-8802b4243e93
57,aws-sdk-sts,1.33.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1a38af36-2975-40b1-a703-0854fc18ecce,ca39f26f-36da-4703-b9fc-eb9a39d246a6,7cae335f-1193-421e-92f1-8802b4243e93
58,aws-smithy-async,1.2.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,6449b945-02de-447f-864e-3ad3ee69cbe4,f4b687b6-1963-4c07-8e32-2515f521797c,7cae335f-1193-421e-92f1-8802b4243e93
59,aws-smithy-json,0.60.7,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,423519e2-3b1a-4e12-b9dc-eb4886f51c02,5fc72009-1e8d-404d-8158-59ecd5b96a6f,7cae335f-1193-421e-92f1-8802b4243e93
60,aws-smithy-query,0.60.7,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,905549f5-ff9b-4e3d-806a-74a8361c35ca,c9b3faec-30c5-48d5-a509-c5c88a6ec40c,7cae335f-1193-421e-92f1-8802b4243e93
61,aws-types,1.3.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,573aec9b-6854-41bf-b142-fbff815f055c,c7d1737a-0586-4562-b73f-6240274b1fcc,7cae335f-1193-421e-92f1-8802b4243e93
62,backoff,0.4.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,d9b8db0b-ec79-4834-b9de-b40cad1e8ac6,c6171026-bcc5-4167-bed6-cfba468b9cd1,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
63,backtrace-ext,0.2.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,f843bb52-07e9-4bc2-a7c3-55a11dcc4e2d,b8aaa5ad-338a-4188-ba22-6a5c21a946fd,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
64,base-x,0.2.11,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,bf65773e-178c-4aa9-bdc1-aaaeb3e5808e,5556bb9e-a430-41ff-bc79-2176e2aef30f,ad705c59-6893-4980-bdbf-0837f1823cc4
65,base64-simd,0.8.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,d2fbb8ec-8571-409d-9510-bc15649a29de,eb571985-4472-4d61-bd11-3006ff4462fc,ad705c59-6893-4980-bdbf-0837f1823cc4
66,bit-vec,0.6.3,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,2f9688ce-62b9-40b8-b9bd-48bc7587a92c,7a0527da-f313-442d-85a5-562470a3f0b3,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
67,bitflags,1.3.2,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,02a11f9d-3ece-4bf3-9445-aaaf565d26d9,d968a904-4387-49ce-9533-c55388e27594,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
68,bitvec,1.0.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,df8c248d-4f03-4ef5-b7d4-4a2cd9604df5,1086644c-354a-4f8d-b732-1be994f246d7,ad705c59-6893-4980-bdbf-0837f1823cc4
69,block-buffer,0.10.4,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,68626396-6281-4e40-8d8d-10f6ef68a4e9,3a62a209-efef-4656-bae2-08a004a762c1,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
70,block-buffer,0.9.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,68626396-6281-4e40-8d8d-10f6ef68a4e9,2bf6331a-0c60-4bf0-b3ab-774bcb59ea62,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
71,bluss/arrayvec,0.5.2,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,d1461985-7acc-443f-a30f-02929bcc1047,2d4cbf79-a33f-4e96-8ff7-59c010ae9e70,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
72,bluss/arrayvec,0.7.4,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d1461985-7acc-443f-a30f-02929bcc1047,6918274e-c3a2-42b0-80a5-7e7d6de1a33d,7cae335f-1193-421e-92f1-8802b4243e93
73,bracoxide,0.1.3,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,b49bf8cb-6e16-4242-81ba-dad2d11ea3ce,e1658070-0266-47bf-8a6d-1e8f487f1f93,ad705c59-6893-4980-bdbf-0837f1823cc4
74,briansmith/untrusted,0.9.0,Direct Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,fd1c1620-4aed-4e0c-a6e7-407dd084cede,d3eac175-a759-4100-ae54-bd444f5a282f,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
75,bytecheck_derive,0.6.12,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,dbaa2212-8cc1-498e-a5ad-f817a8c78aba,d20bc8d9-26e6-44f8-8eef-1ad73c2650f2,ad705c59-6893-4980-bdbf-0837f1823cc4
76,bytecount,0.6.8,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,2422f27f-fc75-491c-ac2d-03d6141e3063,c9d512f1-4996-409e-90a0-a42b5160c395,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
77,bytes-utils,0.1.4,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,cab6f651-49e6-48dc-8418-56ef6ac36166,0e4f1b35-08aa-47dd-9d19-4c048fe5cb6d,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
78,cassowary,0.3.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,ee868768-1b8a-46c6-b4b5-4f040ce2ffd0,1947654e-ba35-4e98-8477-02f05aff86ce,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
79,castaway,0.2.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,69d2aab2-a2d9-4822-974a-755d37bc4326,027cf47b-fd66-4f14-b16e-5adae65865d2,ad705c59-6893-4980-bdbf-0837f1823cc4
80,cessen/ropey,1.6.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,118dd48a-0d93-404b-8811-4ead405cdbf6,5200445d-85df-45d0-8a27-fe9a62593c43,ad705c59-6893-4980-bdbf-0837f1823cc4
81,cexpr,0.6.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,d1814633-22c1-4088-bceb-b7687c2a3db4,f36e45c3-7c8f-440d-8182-acf7510bef83,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
82,cfg_aliases,0.1.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,31a8cbcb-2227-4682-ba2c-d5159bbf0e42,eea3305d-dd32-45b5-b54d-80036e3d5cdf,ad705c59-6893-4980-bdbf-0837f1823cc4
83,cfg_aliases,0.2.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,31a8cbcb-2227-4682-ba2c-d5159bbf0e42,9f2b726f-a40e-4175-ba90-f06e2fd903e5,ad705c59-6893-4980-bdbf-0837f1823cc4
84,chardetng,0.1.17,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,be7e5fdb-51b4-49b7-b8e7-8ef7a2b7ce5c,4b6ab24f-8a98-46c4-9946-c4d1070dcc08,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
85,chrono-tz-build,0.2.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,fec93bcd-6b80-4085-a1b0-c23dea3fc837,da6f7ab4-14c7-4504-a620-245d1850bc22,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
86,chrono-tz-build,0.3.0,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,fec93bcd-6b80-4085-a1b0-c23dea3fc837,bb0b492b-f016-4217-bfd5-cc15fd724dfd,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
87,clap-rs/clap,2.34.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e5b9c813-c8d7-4d2a-9900-bc33dbd40a4a,5286957f-478f-4310-8dbd-2fbc48677d17,ad705c59-6893-4980-bdbf-0837f1823cc4
88,clipboard-win,5.3.1,Direct Dependency,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,98dc4ce3-ccfe-4e72-bde2-16385f0d44f8,e99f2ef2-3c80-43c0-99ac-e1ea02b076c3,26b23233-77bd-4cc2-8977-f312abd57327
