,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Guava InternalFutureFailureAccess and InternalFutures,1.0.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,71ba0e56-32eb-4c4e-9cdc-c68e4b809911,87b54cc4-f37f-42fd-abf2-985872b8fdee,7cae335f-1193-421e-92f1-8802b4243e93
1,HdrHistogram,2.1.12,Direct Dependency,"(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal OR Public Domain)",PERMISSIVE,NOT_REVIEWED,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,3bc817e9-60e6-449a-b0e4-fc2155157579,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00"
2,Jackson-module-Afterburner,2.16.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,eea33624-c4cb-4c71-8ef7-767642d1d611,1826679b-46f7-4f6d-88af-9f2816698c09,7cae335f-1193-421e-92f1-8802b4243e93
3,Java Concurrency Tools Core Library,4.0.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ed9663f6-217e-4f90-9aa5-c74a02cc964c,bf53ed92-265c-42b2-958a-f22bc2cf5772,7cae335f-1193-421e-92f1-8802b4243e93
4,LatencyUtils,2.0.3,Direct Dependency,"(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal)",PERMISSIVE,NOT_REVIEWED,874c05c9-ed80-4f4b-a936-f00eb05b72e6,e93456bb-8d51-4be1-a5c0-57af8aaa218c,"cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00"
5,Netty Project,4.1.101.Final,"Direct Dependency,Transitive Dependency",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,efd56af9-62c0-430b-84e7-f45fedd08060,4624caf4-0224-4535-9797-d974a7f42e17,7cae335f-1193-421e-92f1-8802b4243e93
6,Netty/TomcatNative [OpenSSL - Classes],2.0.61.Final,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,51ad849f-4561-4fd8-a57a-efecd9590147,ae5ec116-84c5-4750-adc9-840566059327,7cae335f-1193-421e-92f1-8802b4243e93
7,Netty/Transport/Classes/Epoll,4.1.101.Final,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a0caf2bd-5f18-44cf-9878-404b01bcdc3a,b20fa136-2c3b-4267-aebe-8f1efdeab6a6,7cae335f-1193-421e-92f1-8802b4243e93
8,Netty/Transport/Classes/KQueue,4.1.101.Final,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ec669760-7607-4049-917a-f647295609c8,d98954d6-1333-4b23-bf82-1d3f7c6f2a01,7cae335f-1193-421e-92f1-8802b4243e93
9,Netty/Transport/Native/Unix/Common,4.1.101.Final,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1cb09fd1-4c1d-45f5-937a-193e8acbfb88,2635a56d-4943-4591-ab79-fbe2be447a9f,7cae335f-1193-421e-92f1-8802b4243e93
